country,countrycode,year,exportdiv,ncc,pscom,psenroll,trade,fdi,gdpg,popn,govscore,latitude
Afghanistan,4,1970,3.8009915,0.87755385,,33.42000961,21.72811007,0.013151224,,10752971,0.264,33
Afghanistan,4,1971,3.8723822,1.035584144,,34.33134079,27.06313745,0.024575271,,11015857,0.264,33
Afghanistan,4,1972,3.7045109,1.195196448,,34.75268173,32.86908104,0.009401115,,11286753,0.263,33
Afghanistan,4,1973,3.6761062,1.674168157,,35.21437073,27.69230879,0.015576924,,11575305,0.283,33
Afghanistan,4,1974,3.6876614,2.125319208,17.98686981,35.76082993,28.86598016,,,11869879,0.274,33
Afghanistan,4,1975,3.4672232,2.666730639,,36.71591187,26.94835767,,,12157386,0.274,33
Afghanistan,4,1976,3.6032999,2.824876293,,37.60150909,28.08695666,0.001565217,,12425267,0.274,33
Afghanistan,4,1977,3.7876248,2.68324458,18.96799088,38.38040924,26.48607983,-0.008126411,,12687301,0.274,33
Afghanistan,4,1978,3.6537247,2.244871525,20.6745491,39.67102051,24.71380403,,,12938862,0.326,33
Afghanistan,4,1979,3.6602466,2.441382875,,,,0.032450496,,12986369,0.436,33
Afghanistan,4,1980,4.0762277,2.560411918,27.66419983,46.06629181,,0.247135743,,12486631,0.422,33
Afghanistan,4,1981,3.5905676,1.996982268,35.88290024,52.37714005,,0.005174216,,11155195,0.422,33
Afghanistan,4,1982,3.7258363,,,21.8145504,,,,10088289,0.422,33
Afghanistan,4,1983,3.9266241,,,,,,,9951449,0.422,33
Afghanistan,4,1984,3.6959445,,21.75962067,27.09651947,,,,10243686,0.422,33
Afghanistan,4,1985,3.7393501,,20.99748039,27.35779953,,,,10512221,0.422,33
Afghanistan,4,1986,3.7357183,,,29.06418037,,,,10448442,0.422,33
Afghanistan,4,1987,3.8304121,,,,,,,10322758,0.422,33
Afghanistan,4,1988,3.9331326,,,37.84622955,,,,10383460,0.422,33
Afghanistan,4,1989,4.1532125,,,35.48210144,,,,10673168,0.422,33
Afghanistan,4,1990,4.0433803,,,34.57723999,,,,10694796,0.364,33
Afghanistan,4,1991,3.8586609,,,36.11692047,,,,10745167,0.362,33
Afghanistan,4,1992,3.717257,,,,,,,12057433,0.22,33
Afghanistan,4,1993,3.3458197,,34.17082977,36.47658157,,,,14003760,0.147,33
Afghanistan,4,1994,4.296752,,,47.78609848,,,,15455555,0.147,33
Afghanistan,4,1995,3.3563507,,,49.69832993,,,,16418912,0.145,33
Afghanistan,4,1996,3.0677667,,,,,,,17106595,0.139,33
Afghanistan,4,1997,2.7101743,,,,,,,17788819,0.152,33
Afghanistan,4,1998,2.9359014,,,34.29687881,,,,18493132,0.152,33
Afghanistan,4,1999,3.0851958,,,27.29884911,,,,19262847,0.152,33
Afghanistan,4,2000,3.3158891,,,22.16299057,,,,19542982,0.135,33
Afghanistan,4,2001,2.8091793,,,22.90859032,,,,19688632,0.155,33
Afghanistan,4,2002,2.8081315,1.276148807,,75.95974731,,1.306949882,,21000256,0.425,33
